82,79,76,133,F,Rolonda,48
85,90,77,1,F,Uzma,5
67,79,82,157,M,Cortlen,5
83,85,73,117,F,Sui,5
72,79,77,2,M,Homer,49451
72,79,77,37,F,Homer,5
83,72,65,469,F,Shawntavia,28
65,76,70,12,M,Alfredo,50588
65,76,70,299,F,Alfredo,31
65,81,85,5,F,Aquinnah,6
78,65,73,119,M,Naithen,5
75,65,77,266,F,Kamea,182
66,73,78,17,F,Binta,84
65,77,65,30,F,Amariah,1435
65,89,72,20,M,Ayham,22
84,82,65,32,F,Trany,317
87,73,76,59,F,Wilmajean,5
83,73,65,31,F,Siana,189
73,82,69,17,F,Irena,138
75,69,82,237,M,Kerven,5
71,82,65,56,M,Grae,5
83,69,76,36,M,Selig,69
66,82,65,28,M,Brayan,13176
65,85,83,41,M,Ausitn,7
67,79,82,90,M,Corderro,58
70,82,65,73,F,Franne,5
82,65,78,129,F,Raniah,32
84,73,65,13,F,Tiarra,2027
75,83,72,1,M,Kshawn,11
84,79,77,11,F,Tomasa,2091
77,69,78,124,F,Mendi,77
76,69,76,114,F,Lelani,107
66,82,73,270,F,Brithney,11
66,82,69,317,F,Brelyn,5
76,69,69,108,F,Leeana,114
74,79,83,5,M,Jose,554196
74,79,83,44,F,Jose,2745
67,79,78,14,M,Conrad,27682
69,83,84,25,M,Estanislao,34
71,69,78,33,F,Genessis,592
76,73,76,209,F,Lillybeth,5
90,65,78,4,F,Zaniyah,4053
83,72,69,353,F,Sherida,68
65,82,77,137,F,Armine,69
65,78,78,420,F,Annmargaret,6
76,69,69,78,F,Leeah,284
69,86,79,30,M,Evo,5
79,78,65,5,F,Onalee,285
84,73,77,3,M,Timmy,22192
67,65,82,155,M,Cardin,21
68,69,82,281,F,Dera,15
76,69,84,107,F,Letticia,121
65,65,72,14,M,Aahil,252
83,65,77,91,M,Samari,68
83,65,77,96,F,Samari,365
80,82,65,27,M,Prateek,12
76,79,78,17,M,Lonzo,1286
65,82,73,58,M,Arion,484
65,82,73,143,F,Arion,56
83,72,65,159,F,Shameeka,463
72,85,69,32,M,Huel,16
66,73,76,4,M,Bilal,3113
77,65,82,254,F,Marli,558
67,72,69,258,F,Chedva,16
67,73,78,8,F,Cinda,2358
69,77,85,107,F,Emunah,16
84,79,80,57,F,Topacio,51
69,84,72,15,M,Ethanmatthew,6
82,73,67,77,M,Ricke,5
74,65,90,539,F,Jazma,10
66,69,78,75,M,Bentura,22
83,85,82,57,F,Surie,80
67,82,79,22,M,Croix,138
83,72,65,422,F,Shadonna,39
82,65,74,80,M,Rajiv,194
84,69,65,77,F,Teasia,89
83,65,77,195,F,Samarra,36
65,82,67,136,M,Archivaldo,15
84,65,83,334,F,Tasheba,6
68,69,77,366,F,Demiya,5
82,65,73,142,M,Raidyn,22
74,85,68,22,F,Judie,3246
66,82,73,152,M,Brigg,30
89,85,75,27,F,Yuka,67
68,65,86,172,M,Davit,72
65,82,89,30,M,Aryeh,1702
78,79,82,16,F,Norene,1869
77,65,83,81,M,Massimo,1569
74,65,77,611,F,Jamieann,5
76,69,84,20,F,Letha,12749
65,82,86,99,M,Arville,70
73,68,69,3,M,Iden,36
70,82,79,45,F,Frona,33
71,85,65,23,M,Gualberto,50
84,65,32,341,F,Ta,5
90,69,68,25,M,Zedekiah,13
84,69,84,88,M,Tetsuro,5
86,69,69,69,F,Veera,31
84,65,78,242,F,Tangi,23
69,77,73,88,F,Emilyann,66
83,72,69,28,M,Shedrick,932
83,72,65,427,F,Shamiah,38
65,78,68,53,M,Andrez,340
75,65,82,209,F,Karrington,399
77,73,67,134,F,Micole,67
86,69,83,28,M,Vestal,20
86,69,83,116,F,Vestal,5
77,65,82,10,M,Marc,136396
77,65,82,796,F,Marc,11
74,69,68,174,M,Jedrek,6
84,65,77,65,M,Tamer,117
84,65,77,368,F,Tamer,5
74,65,78,345,F,Jannatul,56
77,65,67,317,M,Machi,15
75,65,76,291,F,Kallista,129
65,77,69,38,M,Amerigo,139
75,69,80,155,M,Kepler,24
75,65,82,289,F,Karinna,132
69,76,79,63,F,Elodia,1083
65,68,79,69,M,Adonnis,15
65,73,76,50,F,Ailish,78
65,89,76,50,F,Aylla,10
83,72,65,508,F,Shantee,21
68,89,78,19,F,Dynasti,5
83,65,76,334,F,Salote,5
68,73,78,32,F,Dineen,124
74,79,83,73,F,Josslyn,828
77,89,82,71,F,Myrian,5
74,73,76,41,F,Jillayne,5
72,85,71,35,M,Hughey,11
84,82,65,55,M,Trajan,131
74,65,88,14,M,Jaxon,70204
74,65,88,459,F,Jaxon,18
65,69,82,5,M,Aero,35
74,69,82,184,M,Jeral,5
65,84,72,26,M,Atha,5
65,84,72,7,F,Atha,152
83,85,66,111,F,Subrena,5
65,78,68,46,M,Ander,413
76,85,71,53,F,Lugenia,87
75,65,76,174,F,Kaliah,716
82,85,71,15,M,Ruger,654
75,89,77,61,F,Kymberli,33
83,72,65,399,F,Shantrice,48
65,84,72,7,M,Athanasios,271
74,69,78,248,F,Jenalyn,5
75,65,84,642,F,Kathaleya,5
67,65,84,273,F,Catlyn,21
83,72,65,261,F,Shaylene,146
65,76,69,272,F,Alexza,42
89,65,78,27,F,Yaneth,450
67,65,82,183,M,Carder,10
77,85,83,37,M,Muscab,5
67,79,78,58,F,Conchita,207
72,65,68,55,F,Hadassa,451
77,65,68,68,F,Madelynn,12521
75,79,82,24,F,Koraima,53
71,73,65,6,F,Gia,12066
82,65,78,225,M,Rani,5
